the_geom,start_station_longitude,tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,cartodb_id,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender
,-73.98185424,764,2/1/2015 0:21,2/1/2015 0:33,317,E 6 St & Avenue B,40.72453734,31,358,Christopher St & Greenwich St,40.73291553,-74.00711384,16780,Subscriber,1981,1
,-73.98205027,733,2/1/2015 0:21,2/1/2015 0:34,461,E 20 St & 2 Ave,40.73587678,32,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,17341,Subscriber,1991,1
,-73.9900262,559,2/1/2015 0:22,2/1/2015 0:31,477,W 41 St & 8 Ave,40.75640548,33,513,W 56 St & 10 Ave,40.768254,-73.988639,16983,Subscriber,1980,1
,-73.98185424,159,2/1/2015 0:22,2/1/2015 0:25,317,E 6 St & Avenue B,40.72453734,34,393,E 5 St & Avenue C,40.72299208,-73.97995466,14958,Subscriber,1971,1
,-73.99266288,977,2/1/2015 0:23,2/1/2015 0:39,531,Forsyth St & Broome St,40.71893904,35,127,Barrow St & Hudson St,40.73172428,-74.00674436,15706,Subscriber,1984,1
,-73.990214,529,2/1/2015 0:23,2/1/2015 0:32,300,Shevchenko Pl & E 7 St,40.728145,36,531,Forsyth St & Broome St,40.71893904,-73.99266288,14884,Subscriber,1995,1
,-73.990214,522,2/1/2015 0:23,2/1/2015 0:32,300,Shevchenko Pl & E 7 St,40.728145,37,531,Forsyth St & Broome St,40.71893904,-73.99266288,21400,Subscriber,1994,2
,-73.990214,506,2/1/2015 0:23,2/1/2015 0:32,300,Shevchenko Pl & E 7 St,40.728145,38,531,Forsyth St & Broome St,40.71893904,-73.99266288,19936,Subscriber,1968,1
,-73.99994661,345,2/1/2015 0:23,2/1/2015 0:29,223,W 13 St & 7 Ave,40.73781509,39,293,Lafayette St & E 8 St,40.73028666,-73.9907647,17105,Subscriber,1993,1
,-73.99266288,285,2/1/2015 0:23,2/1/2015 0:28,531,Forsyth St & Broome St,40.71893904,40,403,E 2 St & 2 Ave,40.72502876,-73.99069656,19261,Subscriber,1966,1
,-73.98194829,657,2/1/2015 0:24,2/1/2015 0:35,472,E 32 St & Park Ave,40.7457121,41,237,E 11 St & 2 Ave,40.73047309,-73.98672378,20732,Subscriber,1984,1
,-73.98442659,505,2/1/2015 0:24,2/1/2015 0:32,173,Broadway & W 49 St,40.76064679,42,442,W 27 St & 7 Ave,40.746647,-73.993915,19766,Subscriber,1972,1
,-73.97573881,259,2/1/2015 0:24,2/1/2015 0:28,487,E 20 St & FDR Drive,40.73314259,43,2012,E 27 St & 1 Ave,40.739445,-73.976806,16196,Subscriber,1990,1
,-73.98915076,281,2/1/2015 0:26,2/1/2015 0:31,444,Broadway & W 24 St,40.7423543,44,442,W 27 St & 7 Ave,40.746647,-73.993915,17627,Subscriber,1981,1
,-73.99461843,548,2/1/2015 0:28,2/1/2015 0:37,515,W 43 St & 10 Ave,40.76009437,45,466,W 25 St & 6 Ave,40.74395411,-73.99144871,16731,Subscriber,1964,1
,-74.01658354,511,2/1/2015 0:30,2/1/2015 0:38,327,Vesey Pl & River Terrace,40.7153379,46,195,Liberty St & Broadway,40.70905623,-74.01043382,17505,Subscriber,1954,1
,-73.979382,265,2/1/2015 0:30,2/1/2015 0:35,243,Fulton St & Rockwell Pl,40.688226,47,261,Johnson St & Gold St,40.69474881,-73.98362464,18324,Subscriber,1984,1
,-74.00965965,1095,2/1/2015 0:31,2/1/2015 0:49,328,Watts St & Greenwich St,40.72405549,48,530,11 Ave & W 59 St,40.771522,-73.990541,18474,Subscriber,1982,1
,-73.99456405,709,2/1/2015 0:32,2/1/2015 0:44,168,W 18 St & 6 Ave,40.73971301,49,489,10 Ave & W 28 St,40.75066386,-74.00176802,19705,Subscriber,1979,1
,-73.989111,443,2/1/2015 0:32,2/1/2015 0:39,312,Allen St & E Houston St,40.722055,50,511,E 14 St & Avenue B,40.72938685,-73.97772429,15525,Subscriber,1986,1
,-73.99800419,426,2/1/2015 0:32,2/1/2015 0:39,254,W 11 St & 6 Ave,40.73532427,51,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,20142,Subscriber,1987,1
,-73.989111,251,2/1/2015 0:32,2/1/2015 0:36,312,Allen St & E Houston St,40.722055,52,307,Canal St & Rutgers St,40.71427487,-73.98990025,15196,Subscriber,1986,1
,-73.96024116,1101,2/1/2015 0:34,2/1/2015 0:52,539,Metropolitan Ave & Bedford Ave,40.71534825,53,261,Johnson St & Gold St,40.69474881,-73.98362464,14663,Subscriber,1992,1
,-73.98658032,748,2/1/2015 0:35,2/1/2015 0:48,465,Broadway & W 41 St,40.75513557,54,174,E 25 St & 1 Ave,40.7381765,-73.97738662,17299,Subscriber,1989,2
,-74.000271,301,2/1/2015 0:35,2/1/2015 0:40,383,Greenwich Ave & Charles St,40.735238,55,470,W 20 St & 8 Ave,40.74345335,-74.00004031,19756,Subscriber,1987,1
,-73.98672378,541,2/1/2015 0:36,2/1/2015 0:45,237,E 11 St & 2 Ave,40.73047309,56,472,E 32 St & Park Ave,40.7457121,-73.98194829,21592,Subscriber,1991,1
,-73.9851615,502,2/1/2015 0:36,2/1/2015 0:44,447,8 Ave & W 52 St,40.76370739,57,441,E 52 St & 2 Ave,40.756014,-73.967416,19244,Subscriber,1987,1
,-73.99994661,428,2/1/2015 0:36,2/1/2015 0:43,223,W 13 St & 7 Ave,40.73781509,58,237,E 11 St & 2 Ave,40.73047309,-73.98672378,17886,Subscriber,1989,1
,-73.98165557,437,2/1/2015 0:38,2/1/2015 0:46,504,1 Ave & E 15 St,40.73221853,59,527,E 33 St & 2 Ave,40.744023,-73.976056,17109,Subscriber,1980,1
,-73.99074142,863,2/1/2015 0:40,2/1/2015 0:54,285,Broadway & E 14 St,40.73454567,60,263,Elizabeth St & Hester St,40.71729,-73.996375,20150,Subscriber,1984,1
,-73.99074142,716,2/1/2015 0:40,2/1/2015 0:52,285,Broadway & E 14 St,40.73454567,61,268,Howard St & Centre St,40.71910537,-73.99973337,17289,Subscriber,1981,2
